;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;TYPHLODROMUS PYRI SK;Typhlodromus pyri (100.000 %);20-00829-PM;BOT;BIOTOMAL;NN;BG;;22.09.2030;Profi;N;N;N;Pomocny;;22.03.2031;22.03.2032;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P270,P280,P501;;;;Vã3;;;
;SWIRSKII MITE;Amblyseius swirskii (100.000 %);19-00493-PM;BOT;BIOTOMAL;XX;INE;;21.05.2029;Profi, Neprofi;N;N;N;Pomocny;;21.11.2029;21.11.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;CAPSANEM;steinernema carpocapsae (100.000 %);18-00379-PM;BOT;BIOTOMAL;XX;INE;;08.11.2028;Profi, Neprofi;N;N;N;Pomocny;;08.05.2029;08.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;LIMONICA;amblydromalus limonicus (100.000 %);18-00381-PM;BOT;BIOTOMAL;XX;INE;;08.11.2028;Profi, Neprofi;N;N;N;Pomocny;;08.05.2029;08.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;-;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;DELPHIBUG;delphastus pusillus (0.000 g/l);18-00378-PM;BOT;BIOTOMAL;XX;INE;;08.11.2028;Profi, Neprofi;N;N;N;Pomocny;;08.05.2029;08.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;-;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;BIELE LEPOVÉ DO·TIâKY;polyolefíny (100.000 %);07-20-0939;BOT;BIOTOMAL;RB;ZV;;02.08.2028;Profi, Neprofi;N;N;N;Pomocny;;02.02.2029;02.02.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P280;;;V3;Vã3;Vo4;Vt5;Z4
;APHIDAMIA;Hippodamia convergens (5000.000 ks);07-20-0956;BOT;BIOTOMAL;XX;BG;;31.12.2018;Profi;N;N;N;Pomocny;;30.06.2019;30.06.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;APHIDEND ;Aphidoletes aphidimyza (100.000 ks);07-20-0967;BOT;BIOTOMAL;XX;BG;;04.09.2028;Profi;N;N;N;Pomocny;;04.03.2029;04.03.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;APHILIN ;Aphelinus abdominalis (100.000 ks);07-20-0968;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;APHIPAR ;Aphidius colemani (100.000 ks);07-20-0969;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;CITRIPAR ;Anagyrus pseudococci (250.000 ks);07-20-0970;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;CRYPTOBUG ;Cryptolaemus montrozierii (25.000 ks);07-20-0957;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;MINUSA ;Dagnusa sibirica (100.000 ks);07-20-0976;BOT;BIOTOMAL;XX;BG;;13.09.2028;Profi;N;N;N;Pomocny;;13.03.2029;13.03.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;MIRICAL ;Macrolophus caliginosus (500.000 ks);07-20-0953;BOT;BIOTOMAL;XX;BG;;13.09.2028;Profi;N;N;N;Pomocny;;13.03.2029;13.03.2020;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;MODRÉ LEPOVÉ DO·TIâKY;polyolefíny (100.000 %);07-20-0940;BOT;BIOTOMAL;RB;ZV;;02.08.2028;Profi, Neprofi;N;N;N;Pomocny;;02.02.2029;02.02.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P280;;;V3;Vã3;Vo4;Vt5;Z4
;MYGLIPHUS ;Digliphus isaea (100.000 ks);07-20-0975;BOT;BIOTOMAL;XX;BG;;13.09.2028;Profi;N;N;N;Pomocny;;13.03.2029;13.03.2020;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;LAPAâE ·KODCOV IZBOV¯CH RASTLÍN;polyolefíny (100.000 %);07-20-0941;BOT;BIOTOMAL;RB;ZV;;02.08.2028;Profi, Neprofi;N;N;N;Pomocny;;02.02.2029;02.02.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P280;;;V3;Vã3;Vo4;Vt5;Z4
;LARVANEM ;Heterorhabditis megidis (50000000.000 ks);07-20-0965;BOT;BIOTOMAL;XX;BG;;13.09.2028;Profi;N;N;N;Pomocny;;13.03.2029;13.03.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;LEPOVÉ PÁSY;polyolefíny (100.000 %);07-20-0943;BOT;BIOTOMAL;RB;ZV;;02.08.2028;Profi, Neprofi;N;N;N;Pomocny;;02.02.2029;02.02.2030;autorizovany;;Bez GHS;EUH401;;P102,P280;;;V3;Vã3;Vo4;Vt5;Z4
;LEPTOPAR ;Leptomastix dactylopii (100.000 ks);07-20-0974;BOT;BIOTOMAL;XX;BG;;31.12.2018;Profi;N;N;N;Pomocny;;30.06.2019;30.06.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;EN-STRIP ;Encarsia formosa (200.000 ks);07-20-0971;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;ENTOMITE ;Hypoaspis spp. (1000.000 ks);07-20-0958;BOT;BIOTOMAL;XX;BG;;04.09.2028;Profi, Neprofi;N;N;N;Pomocny;;04.03.2029;04.03.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;ENTONEM ;Steinernema feltiae (50000000.000 ks);07-20-0964;BOT;BIOTOMAL;XX;BG;;23.08.2028;Profi, Neprofi;N;N;N;Pomocny;;23.02.2029;23.02.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;ERCAL ;Eretmocerus eremicus (100.000 ks);07-20-0972;BOT;BIOTOMAL;XX;BG;;23.08.2028;Profi, Neprofi;N;N;N;Pomocny;;23.02.2029;23.02.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;ERVIPAR ;Aphidius ervi, Haliday 1834 (100.000 ks);07-20-0973;BOT;BIOTOMAL;XX;BG;;04.09.2028;Profi;N;N;N;Pomocny;;04.03.2029;04.03.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;-;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;CHRYSOPERLA CARNEA;Chrysoperla carnea (100.000 ks);07-20-0979;BOT;BIOTOMAL;XX;BG;;04.09.2028;Profi;N;N;N;Pomocny;;04.03.2029;04.03.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;PODIBUG ;Podisus maculiventris (100.000 ks);07-20-0954;BOT;BIOTOMAL;XX;BG;;31.12.2018;Profi;N;N;N;Pomocny;;30.06.2019;30.06.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;SPICAL ;Amblyseius californicus (2000.000 ks);07-20-0959;BOT;BIOTOMAL;XX;BG;;13.09.2028;Profi;N;N;N;Pomocny;;13.03.2029;13.03.2020;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;SPIDEND ;Feltiella acarisuga (100.000 ks);07-20-0977;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;SPIDEX ;Phytoseiulus persimilis (2000.000 ks);07-20-0960;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;THRIPANS ;Amblyseius degenerans (5000.000 ks);07-20-0961;BOT;BIOTOMAL;XX;BG;;31.12.2018;Profi;N;N;N;Pomocny;;30.06.2019;30.06.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;THRIPEX ;Amblyseius cucumeris (50000.000 ks);07-20-0962;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;THRIPOR 1 ;Orius insidiosus (500.000 ks);07-20-0955;BOT;BIOTOMAL;XX;BG;;14.11.2028;Profi, Neprofi;N;N;N;Pomocny;;14.05.2029;14.05.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH - bez oznaãenia;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;THRIPOR 2;Orius insidiosus (500.000 ks);08-20-0984;BOT;BIOTOMAL;XX;INE;;31.12.2018;Profi;N;N;N;Pomocny;;30.06.2019;30.06.2020;neautorizovany;;;;;;;;;;;;
;THRIPOR 3;Orius insidiosus (500.000 ks);08-20-0985;BOT;BIOTOMAL;XX;INE;;31.12.2018;Profi;N;N;N;Pomocny;;30.06.2019;30.06.2020;neautorizovany;;;;;;;;;;;;
;ÎLTÉ LEPOVÉ DO·TIâKY;polyolefíny (100.000 %);07-20-0938;BOT;BIOTOMAL;RB;ZV;;02.08.2028;Profi, Neprofi;N;N;N;Pomocny;;02.02.2029;02.02.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P280;;;V3;Vã3;Vo4;Vt5;Z4
;ÎLTÉ SFÉRICKÉ LAPAâE;polyelofins / polyelofíny (100.000 %);07-20-0942;BOT;BIOTOMAL;RB;ZV;;02.08.2028;Profi, Neprofi;N;N;N;Pomocny;;02.02.2029;02.02.2030;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P280;;;V3;Vã3;Vo4;Vt5;Z4
;BROS stromov˘ balzam;ethoxylované alkoholy (0.900 w/w);16-20-1812;BRO;BROS Sp. K. Zoo;PA;INE,O;;12.07.2026;Profi;N;N;N;Pomocny;;12.01.2027;12.01.2028;autorizovany;NepoÏaduje sa;Bez GHS;EUH208,EUH401;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;BROS lepové dosky do kvetináãov;Ïivica (20.000 %),polybuthylene / polybutylén (80.000 %);16-20-1805;BRO;BROS Sp. K. Zoo;XX;ZV;;19.11.2025;Profi, Neprofi;N;N;N;Pomocny;;19.05.2026;19.05.2027;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;BROS obojstrann˘ lepov˘ pás;Ïivica (20.000 %),polybuthylene / polybutylén (80.000 %);16-20-1796;BRO;BROS Sp. K. Zoo;XX;INE;;20.05.2026;Profi;N;N;N;Pomocny;;20.11.2026;20.11.2027;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H - bez oznaãenia;P - Bez oznaãenia;;;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;BROS lepové dosky na stromy a do skleníkov;Polybutene (800.000 g/l);16-20-1810;BRO;BROS Sp. K. Zoo;XX;ZV;;06.07.2026;Profi, Neprofi;N;N;N;Pomocny;;06.01.2027;06.01.2028;autorizovany;;;EUH401;;;;;;;;;
;GALERA;Clopyralid (267.000 g/l),Picloram (67.000 g/l);03-11-0626;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SL;H;;30.04.2022;Profi;N;N;N;Pripravok;;31.10.2022;31.10.2023;autorizovany;NepoÏaduje sa;GHS09;EUH401;H411;P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;GALERA JESE≈;Aminopyralid (40.000 g/l),Clopyralid (240.000 g/l),Picloram (80.000 g/l);10-11-1124;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SL;H;;30.04.2022;Profi;N;N;N;Pripravok;;31.10.2022;31.10.2023;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;-;-;PHO1;SP 1;V3;Vã3;Vo3;Vt5;Z4
;HURICANE;Aminopyralid (50.000 g/kg),Florasulam (25.000 g/kg),Pyroxsulam (50.000 g/kg);08-11-1024;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;WG;H;;30.04.2025;Profi;N;N;N;Pripravok;;30.10.2025;30.10.2026;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P280,P302+P352,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;ESTERON;2,4-D (905.000 g/l);09-11-1040;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;EC;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H315,H317,H400,H411;P280,P302+P352,P333+P313,P391,P501;PHO1;SP 1;V3;Vã3;Vo3;Vt5;Z4
;DURSBAN 480 EC;Chlorpyrifos (480.000 g/l);3536;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;EC;I;;16.02.2020;Profi;N;N;N;Pripravok;;16.04.2020;16.04.2020;neautorizovany;Nebezpeãenstvo;GHS02,GHS07,GHS08,GHS09;EUH401;H226,H302,H304,H315,H319,H332,H335,H336,H410;P280,P301+P310,P302+P352,P305+P351+P338,P331,P501;;SP 1,SPe 3;V2;Vã1;Vo1;Vt4;Z3
;LONTREL 300;Clopyralid (300.000 g/l);3429;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SL;H;;30.04.2021;Profi;N;N;N;Pripravok;;30.10.2021;30.10.2022;autorizovany;Pozor;GHS09;EUH401;H - bez oznaãenia,H410;P - Bez oznaãenia,P391,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;INTEGRO;Methoxyfenozide (240.000 g/l);03-05-0625;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;I;;31.07.2020;Profi;N;N;N;Pripravok;;31.01.2021;31.01.2022;spotreba;Pozor;GHS09;EUH208,EUH401;H411;P501;PHO2;SP 1;V3;Vã3;Vo3;Vt5;Z4
;KERB 50 W;Propyzamide (500.000 g/kg);3172;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;WP;H;;31.01.2020;Profi;N;N;N;Pripravok;;31.07.2020;31.07.2021;spotreba;Pozor;GHS08,GHS09;EUH401;H351,H411;P202,P280,P391,P501;;SP 1;V2;Vã3;Vo3;Vt5;Z4
;KARATHANE NEW;Meptyldinocap (350.000 g/l);08-02-1031;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;EC;F;;31.03.2026;Profi;N;N;N;Pripravok;;30.09.2026;30.09.2027;autorizovany;Pozor;GHS02,GHS07,GHS09;EUH066,EUH401;H226,H302,H317,H319,H332,H336,H410;P280,P301+P312,P302+P352,P305+P351+P338;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;KANTOR;Florasulam (50.000 g/l);98-11-0443;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2017;30.06.2018;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P391,P501;;;V3;Vã3;Vo3;Vt5;Z4
;BOFIX;Clopyralid (20.000 g/l),Fluroxypyr (40.000 g/l),MCPA (200.000 g/l);97-11-0378;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;EW;H;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H319,H411;P280,P302+P352,P305+P351+P338,P501;;;V3;Vã3;Vo2;Vt5;Z3
;ATLAS;Quinoxyfen (500.000 g/l);99-02-0454;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;F;;27.06.2019;Profi;N;N;N;Pripravok;;27.12.2019;27.03.2020;neautorizovany;Pozor;GHS07,GHS09;EUH401;H317,H410;P280,P333+P313,P391,P501;;;V3;Vã3;Vo1;Vt5;Z4
;CORELLO;Pyroxsulam (75.000 g/kg);10-11-1132;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;WG;H;;30.04.2025;Profi;N;N;N;Pripravok;;31.10.2025;31.10.2026;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P264,P270,P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;MUSTANG;2,4-D (300.000 g/l),Florasulam (6.250 g/l);98-11-0441;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SE;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H302,H317,H410;P280,P301+P312,P302+P352,P501;;;V3;Vã3;Vo3;Vt5;Z4
;MUSTANG FORTE;2,4-D (180.000 g/l),Aminopyralid (10.000 g/l),Florasulam (5.000 g/l);10-11-1084;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SE;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H302,H317,H410;P280,P301+P312,P302+P352,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;RELDAN 22;Chlorpyrifos-methyl (225.000 g/l);11-05-1176;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;EC;I;;16.02.2020;Profi;N;N;N;Pripravok;;16.04.2020;16.04.2020;neautorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H304,H315,H317,H336,H410;P261,P280,P301+P310,P302+P352,P305+P351+P338,P331,P501;;SP 1,SPe 3;V2;Vã1;Vo1;Vt5;Z4
;SPINTOR;Spinosad (240.000 g/l);07-05-0891;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;I;;30.04.2021;Profi;N;N;N;Pripravok;;31.10.2021;31.10.2022;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P391,P501;;SP 1,SPe 3;V3;Vã2;Vo2;Vt5;Z1
;DURSBAN DELTA;Chlorpyrifos (200.000 g/l);12-05-1313;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;CS;I;;31.01.2019;Profi;N;N;N;Pripravok;;31.07.2019;16.04.2020;neautorizovany;Pozor;GHS09;EUH208,EUH401;H410;P501;;SP 1,SPe 3;V3;Vã1;Vo1;Vt4;Z3
;BIZON;Diflufenican (100.000 g/l),Florasulam (3.750 g/l),Penoxsulam (15.000 g/l);13-11-1386;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P102,P270,P280,P391,P501;PHO1,PHO3;SP 1,SPe 3;V3;Vc - bez oznaãenia,Vã3;Vo1;Vt5;Z4
;GARLON NEW;Fluroxypyr (20.000 g/l),Triclopyr (60.000 g/l);12-11-1304;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;ME;H;;30.04.2021;Profi;N;N;N;Pripravok;;31.10.2021;31.10.2022;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H410;P280,P302+P352,P501;;SP 1,SPe 3;V3;Vc - bez oznaãenia;Vo1;Vt5;Z4
;STARANE FORTE;Fluroxypyr (333.000 g/l) CIPAC: meptyl (480.000 g/l);14-11-1489;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;EC;H;;31.12.2022;Profi;N;N;N;Pripravok;;30.06.2023;30.06.2024;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H411;P261,P272,P273,P280,P302+P352,P333+P313,P362+P364,P391,P501;PHO3;SP 1;V3;Vc - bez oznaãenia;Vo3;Vt5;Z4
;STORY;Florasulam (16.700 g/l),Mesotrione (267.000 g/l);13-11-1328;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;H;;31.07.2022;Profi;N;N;N;Pripravok;;31.01.2023;31.01.2024;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P391,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;KANTOR PLUS;Aminopyralid (300.000 g/kg),Florasulam (150.000 g/kg);11-11-1201;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;WG;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H410;P280,P302+P352,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;IQ-CRYSTAL;Quinoxyfen (250.000 g/l);14-02-1457;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;F;;27.06.2019;Profi;N;N;N;Pripravok;;27.12.2019;27.03.2020;neautorizovany;Pozor;GHS07,GHS09;EUH401;H317,H410;P280,P302+P352,P391,P501;;;V3;Vã3;Vo1;Vt5;Z4
;ATAMAN;Florasulam (22.750 g/kg),Pyroxsulam (68.250 g/kg);15-11-1527;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;WG;H;;31.12.2024;Profi;N;N;N;Pripravok;;30.06.2025;30.06.2026;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P391,P501;;SP 1,SPe 3;V3;Vc - bez oznaãenia;Vo2;Vt5;Z4
;HASIâ;Clopyralid (300.000 g/l),Florasulam (25.000 g/l);14-11-1461;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2017;30.06.2018;autorizovany;Pozor;GHS09;EUH401;H410;P273,P391,P501;PHO3;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
