;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;SYMETRA;Azoxystrobin (200.000 g/l),Isopyrazam (125.000 g/l);18-00271-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;31.03.2024;Profi;N;N;N;Pripravok;;30.09.2024;30.09.2025;autorizovany;Nebezpeãenstvo;GHS06,GHS08,GHS09;EUH208,EUH401;H302,H331,H351,H361d,H410;P102,P201,P261,P264,P270,P273,P280,P304+P340,P308+P313,P311,P391,P501;PHO5;SP 1,SPe 3;V3;0;Vo1;Vt5;Z4
;SHAVIT F 72 WG;Folpet (700.000 g/kg),Triadimenol (20.000 g/kg);15-02-1566;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;03.07.2020;Profi;N;N;N;Pripravok;;31.07.2020;28.02.2021;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H319,H332,H351,H400;P273,P280,P302+P352,P304+P340,P305+P351+P338,P308+P313,P312,P391,P405,P501;PHO1;SP 1,SPe 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;SEGURIS BOLD;Cyproconazole (80.000 g/l),Isopyrazam (125.000 g/l);18-00259-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;31.05.2022;Profi;N;N;N;Pripravok;;30.11.2022;30.11.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H317,H332,H361d,H410;P102,P201,P261,P273,P280,P302+P352,P308+P313,P312,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;PLENUM 50 WG;Pymetrozine (500.000 g/kg);18-00261-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;I;;30.04.2019;Profi;N;N;N;Pripravok;;30.10.2019;30.01.2020;neautorizovany;Pozor;GHS08;EUH401;H351,H410;P102,P201,P202,P273,P280,P308+P313,P391,P405,P501;;SP 1,SPe 8;V3;Vã2;Vo3;Vt5;Z4
;MOMENTUM TRIO;Cymoxanil (40.000 g/kg),Folpet (250.000 g/kg),Fosetyl (155.300 g/kg) CIPAC: Al3+ (500.000 g/kg);14-02-1494;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;30.04.2021;Profi;N;N;N;Pripravok;;30.10.2021;30.10.2022;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH208,EUH401;H319,H351,H361fd,H410;P201,P280,P305+P351+P338,P501;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;BELVEDERE FORTE;Desmedipham (100.000 g/l),Ethofumesate (200.000 g/l),Phenmedipham (100.000 g/l);15-11-1573;ADA;Adama Agriculture Slovensko spol. s.r.o.;SE;H;;31.07.2018;Profi;N;N;N;Pripravok;;31.01.2019;31.01.2020;neautorizovany;Pozor;GHS09;EUH401;H410;P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;TRIMMER;Tribenuron (aka metometuron) (482.000 g/kg);15-11-1650;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;H;;31.10.2020;Profi;N;N;N;Pripravok;;30.04.2021;30.04.2022;dopredaj;Pozor;GHS09;EUH208,EUH401;H410;P201,P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;VINCARE;Benthiavalicarb (17.500 g/kg),Folpet (500.000 g/kg);15-02-1671;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;31.07.2019;Profi;N;N;N;Pripravok;;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H319,H351,H400;P101,P103,P273,P280,P305+P351+P338,P308+P313,P337+P313,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;MIRADOR XTRA;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);18-00279-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;30.06.2022;Profi;N;N;N;Pripravok;;30.12.2022;30.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P202,P261,P264,P270,P271,P273,P280,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;BROMOTRIL 25 SC;Bromoxynil (250.000 g/l);15-11-1525;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS08;EUH208,EUH401;H302,H319,H332,H361d,H412;P201,P261,P270,P280,P304+P340,P305+P351+P338,P501;;SP 1;V2;Vã3;Vo1;Vt4;Z3
